Grid Search Results
==================

Best Parameters:
mlp__activation: tanh
mlp__alpha: 0.075
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (175,)
mlp__learning_rate_init: 0.001
mlp__max_iter: 1000
mlp__n_iter_no_change: 10
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.559
RMSE: 56.7


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Lamar Jackson | QB       | BAL  | 241.7
   2 | Justin Herbert | QB       | LAC  | 237.4
   3 | Jared Goff  | QB       | DET  | 233.6
   4 | Ja'Marr Chase | WR       | CIN  | 231.9
   5 | CeeDee Lamb | WR       | DAL  | 231.4
   6 | Patrick Mahomes | QB       | KAN  | 231.3
   7 | Jalen Hurts | QB       | PHI  | 227.3
   8 | Josh Allen  | QB       | BUF  | 224.8
   9 | Joe Burrow  | QB       | CIN  | 221.9
  10 | Brock Purdy | QB       | SFO  | 220.6
  11 | Jahmyr Gibbs | RB       | DET  | 220.6
  12 | Jordan Addison | WR       | MIN  | 217.6
  13 | Jordan Love | QB       | GNB  | 216.6
  14 | Amon-Ra St. Brown | WR       | DET  | 216.5
  15 | Justin Jefferson | WR       | MIN  | 215.2
  16 | Kyler Murray | QB       | ARI  | 213.0
  17 | Jayden Reed | WR       | GNB  | 211.6
  18 | Puka Nacua  | WR       | LAR  | 211.3
  19 | De'Von Achane | RB       | MIA  | 211.3
  20 | A.J. Brown  | WR       | PHI  | 209.9
