Grid Search Results
==================

Best Parameters:
mlp__activation: tanh
mlp__alpha: 0.075
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (175,)
mlp__learning_rate_init: 0.001
mlp__max_iter: 1000
mlp__n_iter_no_change: 10
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.530
RMSE: 58.5


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Lamar Jackson | QB       | BAL  | 263.6
   2 | Josh Allen  | QB       | BUF  | 263.3
   3 | Joe Burrow  | QB       | CIN  | 259.9
   4 | Jayden Daniels | QB       | WAS  | 257.5
   5 | Jalen Hurts | QB       | PHI  | 257.2
   6 | Jared Goff  | QB       | DET  | 253.1
   7 | Justin Herbert | QB       | LAC  | 253.0
   8 | Baker Mayfield | QB       | TAM  | 252.9
   9 | Sam Darnold | QB       | MIN  | 250.4
  10 | Bo Nix      | QB       | DEN  | 249.7
  11 | Patrick Mahomes | QB       | KAN  | 244.1
  12 | CeeDee Lamb | WR       | DAL  | 238.4
  13 | Ja'Marr Chase | WR       | CIN  | 237.2
  14 | Kyler Murray | QB       | ARI  | 234.4
  15 | Jordan Love | QB       | GNB  | 232.0
  16 | Malik Nabers | WR       | NYG  | 225.7
  17 | Amon-Ra St. Brown | WR       | DET  | 225.6
  18 | Caleb Williams | QB       | CHI  | 223.0
  19 | Brock Purdy | QB       | SFO  | 216.3
  20 | Puka Nacua  | WR       | LAR  | 213.5
