Grid Search Results
==================

Best Parameters:
mlp__activation: tanh
mlp__alpha: 0.125
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (125,)
mlp__learning_rate_init: 0.001
mlp__max_iter: 1000
mlp__n_iter_no_change: 10
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.581
RMSE: 55.3


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Josh Allen  | QB       | BUF  | 294.4
   2 | Lamar Jackson | QB       | BAL  | 285.1
   3 | Jalen Hurts | QB       | PHI  | 276.1
   4 | CeeDee Lamb | WR       | DAL  | 274.1
   5 | Patrick Mahomes | QB       | KAN  | 269.8
   6 | Justin Jefferson | WR       | MIN  | 268.2
   7 | Justin Herbert | QB       | LAC  | 267.9
   8 | Amon-Ra St. Brown | WR       | DET  | 267.3
   9 | Jared Goff  | QB       | DET  | 265.2
  10 | Joe Burrow  | QB       | CIN  | 255.0
  11 | Ja'Marr Chase | WR       | CIN  | 252.9
  12 | Tyreek Hill | WR       | MIA  | 242.5
  13 | Josh Jacobs | RB       | GNB  | 239.1
  14 | Jahmyr Gibbs | RB       | DET  | 237.5
  15 | Baker Mayfield | QB       | TAM  | 237.0
  16 | Puka Nacua  | WR       | LAR  | 233.0
  17 | Jayden Reed | WR       | GNB  | 227.2
  18 | Geno Smith  | QB       | SEA  | 224.2
  19 | Mike Evans  | WR       | TAM  | 221.9
  20 | Jordan Addison | WR       | MIN  | 220.9
