Grid Search Results
==================

Best Parameters:
mlp__activation: tanh
mlp__alpha: 0.125
mlp__batch_size: 32
mlp__early_stopping: True
mlp__hidden_layer_sizes: (125,)
mlp__learning_rate_init: 0.001
mlp__max_iter: 1000
mlp__n_iter_no_change: 10
mlp__validation_fraction: 0.1

Test Set Performance:
R^2: 0.576
RMSE: 55.6


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Josh Allen  | QB       | BUF  | 274.7
   2 | Lamar Jackson | QB       | BAL  | 274.4
   3 | Jalen Hurts | QB       | PHI  | 273.6
   4 | Ja'Marr Chase | WR       | CIN  | 263.6
   5 | Amon-Ra St. Brown | WR       | DET  | 262.7
   6 | CeeDee Lamb | WR       | DAL  | 258.9
   7 | Joe Burrow  | QB       | CIN  | 258.0
   8 | Justin Jefferson | WR       | MIN  | 258.0
   9 | Jared Goff  | QB       | DET  | 256.2
  10 | Justin Herbert | QB       | LAC  | 251.9
  11 | Baker Mayfield | QB       | TAM  | 251.0
  12 | Jahmyr Gibbs | RB       | DET  | 248.0
  13 | Patrick Mahomes | QB       | KAN  | 247.7
  14 | Tyreek Hill | WR       | MIA  | 245.9
  15 | Josh Jacobs | RB       | GNB  | 238.1
  16 | Derrick Henry | RB       | BAL  | 229.2
  17 | Puka Nacua  | WR       | LAR  | 227.3
  18 | Geno Smith  | QB       | SEA  | 226.8
  19 | Mike Evans  | WR       | TAM  | 222.8
  20 | A.J. Brown  | WR       | PHI  | 220.8
