Grid Search Results
==================

Best Parameters:
xgb__colsample_bytree: 0.8
xgb__gamma: 0
xgb__learning_rate: 0.1
xgb__max_depth: 3
xgb__min_child_weight: 3
xgb__n_estimators: 100
xgb__reg_alpha: 0
xgb__reg_lambda: 10
xgb__subsample: 1.0

Test Set Performance:
R^2: 0.519
RMSE: 59.2


2024 Season Predictions
=====================

Top 20 Players for 2024 Season:
==============================

Rank | Player Name | Position | Team | Predicted Target
-----|-------------|----------|------|-----------------
   1 | Jalen Hurts | QB       | PHI  | 316.1
   2 | Jayden Daniels | QB       | WAS  | 304.6
   3 | Lamar Jackson | QB       | BAL  | 286.0
   4 | Patrick Mahomes | QB       | KAN  | 276.4
   5 | Josh Allen  | QB       | BUF  | 275.6
   6 | Justin Jefferson | WR       | MIN  | 274.8
   7 | CeeDee Lamb | WR       | DAL  | 268.4
   8 | Garrett Wilson | WR       | NYJ  | 267.8
   9 | Ja'Marr Chase | WR       | CIN  | 261.0
  10 | Amon-Ra St. Brown | WR       | DET  | 259.3
  11 | Joe Burrow  | QB       | CIN  | 251.2
  12 | Drake London | WR       | ATL  | 249.4
  13 | Kyler Murray | QB       | ARI  | 237.4
  14 | Justin Herbert | QB       | LAC  | 222.9
  15 | Bo Nix      | QB       | DEN  | 222.8
  16 | Brock Purdy | QB       | SFO  | 222.3
  17 | Dak Prescott | QB       | DAL  | 221.5
  18 | Caleb Williams | QB       | CHI  | 220.8
  19 | Malik Nabers | WR       | NYG  | 220.0
  20 | Marvin Harrison Jr. | WR       | ARI  | 218.5
